16	3	38	23	18	4.7231	1.55246536367311	1	1	2	1	5	5	0	1	22	22	7	15	3	4	6.16441400296898	4.79583152331272
17	2	45	29	25	4.7257	1.553015698121	1	1	1	2	8	4	0	2	21	14	1	3	1	1	6.70820393249937	5.3851648071345
17	6	45	29	25	4.7257	1.553015698121	1	1	1	2	2	3	0	0	10	12	8	7	0	2	6.70820393249937	5.3851648071345
17	5	45	29	25	4.7257	1.553015698121	1	5	1	.	3	.	0	.	13	.	2	.	0	.	6.70820393249937	5.3851648071345
17	1	45	29	25	4.7257	1.553015698121	5	1	.	2	.	4	.	0	.	14	.	7	.	1	6.70820393249937	5.3851648071345
17	4	45	29	25	4.7257	1.553015698121	5	1	.	1	.	3	.	0	.	9	.	2	.	2	6.70820393249937	5.3851648071345
17	3	45	29	25	4.7257	1.553015698121	1	1	1	1	3	5	0	0	14	19	6	4	2	0	6.70820393249937	5.3851648071345
18	2	77	37	31	4.9	1.58923520511658	1	1	2	1	2	3	0	1	19	24	3	4	1	1	8.77496438739212	6.08276253029822
18	6	77	37	31	4.9	1.58923520511658	1	3	1	1	1	3	0	0	24	20	6	2	4	3	8.77496438739212	6.08276253029822
18	5	77	37	31	4.9	1.58923520511658	1	1	1	1	2	1	0	0	17	20	4	6	1	0	8.77496438739212	6.08276253029822
18	1	77	37	31	4.9	1.58923520511658	1	3	1	1	3	1	0	1	19	22	4	5	1	2	8.77496438739212	6.08276253029822
18	4	77	37	31	4.9	1.58923520511658	1	1	2	2	2	1	1	1	15	17	2	8	0	1	8.77496438739212	6.08276253029822
18	3	77	37	31	4.9	1.58923520511658	1	3	2	1	4	4	1	0	18	19	5	6	1	1	8.77496438739212	6.08276253029822
19	2	62	33	25	4.1024	1.41157216830416	1	5	2	.	3	.	1	.	13	.	4	.	0	.	7.87400787401181	5.74456264653803
19	6	62	33	25	4.1024	1.41157216830416	1	1	1	1	9	4	0	1	22	17	6	3	1	2	7.87400787401181	5.74456264653803
19	5	62	33	25	4.1024	1.41157216830416	1	1	1	1	9	4	1	0	19	11	2	5	0	1	7.87400787401181	5.74456264653803
